S   UID     PID    PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0     309       2  0  60 -20     0     0 -      ?        00:00:00 loop1
S     0     319       2  0  60 -20     0     0 -      ?        00:00:00 loop2
S     0     321       2  0  60 -20     0     0 -      ?        00:00:00 loop3
S     0     322       2  0  60 -20     0     0 -      ?        00:00:00 loop4
S     0     323       2  0  60 -20     0     0 -      ?        00:00:00 loop5
S     0     324       2  0  60 -20     0     0 -      ?        00:00:00 loop6
S     0     325       2  0  60 -20     0     0 -      ?        00:00:00 loop7
S     0     358       2  0  60 -20     0     0 -      ?        00:00:00 loop8
S     0     360       2  0  60 -20     0     0 -      ?        00:00:00 loop9
S     0     370       2  0  60 -20     0     0 -      ?        00:00:00 loop10
I     0     377       2  0  60 -20     0     0 -      ?        00:00:00 cryptd
S     0     378       2  0  60 -20     0     0 -      ?        00:00:00 loop11
S     0     384       2  0   9   -     0     0 -      ?        00:00:03 irq/18-vmwgfx
I     0     386       2  0  60 -20     0     0 -      ?        00:00:00 ttm_swap
S     0     388       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc0
S     0     392       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc1
S     0     393       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc2
S     0     400       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc3
S     0     401       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc4
S     0     402       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc5
S     0     403       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc6
S     0     404       2  0   9   -     0     0 -      ?        00:00:00 card0-crtc7
S     0     410       2  0  60 -20     0     0 -      ?        00:00:00 loop12
S     0     435       2  0  60 -20     0     0 -      ?        00:00:00 loop13
S     0     513       2  0  60 -20     0     0 -      ?        00:00:00 loop14
S     0     552       2  0  60 -20     0     0 -      ?        00:00:00 loop15
S     0     650       1  0  80   0   708   637 -      ?        00:00:00 acpid
S   115     653       1  0  80   0  3188  2134 -      ?        00:00:00 avahi-daemon
S     0     654       1  0  80   0  3008  2355 -      ?        00:00:00 cron
S   103     657       1  0  80   0  6316  2536 -      ?        00:00:08 dbus-daemon
S     0     660       1  0  80   0 17120 84086 -      ?        00:00:17 NetworkManager
S     0     667       1  0  80   0  3688 20459 -      ?        00:00:00 irqbalance
S     0     671       1  0  80   0 19768  9833 -      ?        00:00:00 networkd-dispat
S     0     675       1  0  80   0 11804 60354 -      ?        00:00:07 polkitd
S   104     678       1  0  80   0  5416 56089 -      ?        00:00:55 rsyslogd
S     0     683       1  0  80   0 34748 310706 -     ?        00:00:04 snapd
S     0     687       1  0  80   0  5424 58928 -      ?        00:00:00 switcheroo-cont
S     0     697       1  0  80   0  8232  4207 -      ?        00:00:00 systemd-logind
S     0     698       1  0  80   0 11620 98253 -      ?        00:00:01 udisksd
S     0     702       1  0  80   0  4968  3422 -      ?        00:00:00 wpa_supplicant
S   115     716     653  0  80   0   332  2088 -      ?        00:00:00 avahi-daemon
S     0     781       1  0  80   0 21652 29533 -      ?        00:00:00 unattended-upgr
S     0     799       1  0  80   0  9840 78616 -      ?        00:00:00 ModemManager
S   120     912       1  0  80   0 11752 81717 -      ?        00:00:00 whoopsie
S   116     919       1  0  80   0   448  2816 -      ?        00:00:00 kerneloops
S   116     924       1  0  80   0   448  2816 -      ?        00:00:00 kerneloops
S   126     946       1  0  80   0 383176 536013 -    ?        00:01:29 mysqld
S     0    1614       1  0  80   0  7680 59903 -      ?        00:00:00 gdm3
S   111    1652       1  0  81   1  2968 38235 -      ?        00:00:00 rtkit-daemon
S     0    1748       1  0  80   0  6912 63034 -      ?        00:00:00 upowerd
S   121    1973       1  0  80   0 14928 215509 -     ?        00:00:00 colord
S     0    2035    1614  0  80   0  8588 41798 -      ?        00:00:00 gdm-session-wor
S  1000    2042       1  0  80   0 10444  4796 ep_pol ?        00:00:01 systemd
S  1000    2043    2042  0  80   0  2896 42261 -      ?        00:00:00 (sd-pam)
S  1000    2048    2042  0  69 -11 20016 1091740 poll_s ?      00:00:59 pulseaudio
S  1000    2050    2042  0  99   - 34000 282305 poll_s ?       00:00:03 tracker-miner-f
S  1000    2052    2042  0  80   0  7456  2608 ep_pol ?        00:00:02 dbus-daemon
S  1000    2069    2042  0  80   0  6560 59926 poll_s ?        00:00:00 gvfsd
S  1000    2071       1  0  80   0  5728 60046 -      ?        00:00:00 gnome-keyring-d
S  1000    2078    2042  0  80   0  5468 94586 futex_ ?        00:00:00 gvfsd-fuse
S  1000    2086    2042  0  80   0  8316 78485 poll_s ?        00:00:00 gvfs-udisks2-vo
S  1000    2093    2042  0  80   0  6232 79181 poll_s ?        00:00:01 gvfs-afc-volume
S  1000    2098    2042  0  80   0  5972 59494 poll_s ?        00:00:00 gvfs-gphoto2-vo
S  1000    2102    2042  0  80   0  5196 58969 poll_s ?        00:00:00 gvfs-goa-volume
S  1000    2106    2042  0  80   0 29324 136798 poll_s ?       00:00:00 goa-daemon
